nome,genero,cor_raca,regiao,twitter,usuario_twitter
ACÁCIO DA SILVA FAVACHO NETO,MASCULINO,BRANCA,Norte,https://twitter.com/acaciofavacho,acaciofavacho
ADAIL JOSÉ FIGUEIREDO PINHEIRO,MASCULINO,PARDA,Norte,https://twitter.com/adailfilhoam?s=21&t=O_eoTX0q1QfS6vmySI7biQ,adailfilhoam
ADRIANA MIGUEL VENTURA,FEMININO,BRANCA,Sudeste,https://twitter.com/adriventurasp,adriventurasp
AGUINALDO VELLOSO BORGES RIBEIRO,MASCULINO,BRANCA,Nordeste,https://twitter.com/depaguinaldo11,depaguinaldo11
ALCEU MOREIRA DA SILVA,MASCULINO,BRANCA,Sul,http://twitter.com/alceu_moreira,alceu_moreira
ALENCAR SANTANA BRAGA,MASCULINO,BRANCA,Sudeste,https://twitter.com/AlencarBraga13,AlencarBraga13
ALEX SPINELLI MANENTE,MASCULINO,BRANCA,Sudeste,https://twitter.com/AlexManente23,AlexManente23
ALEXANDRE LEITE DA SILVA,MASCULINO,PARDA,Sudeste,https://twitter.com/lexandreleite,lexandreleite
ALFREDO GASPAR DE MENDONÇA NETO,MASCULINO,BRANCA,Nordeste,https://twitter.com/Alfredogaspar_,Alfredogaspar_
ALTINEU CÔRTES FREITAS COUTINHO,MASCULINO,PARDA,Sudeste,https://twitter.com/altineu,altineu
ALUISIO GUIMARAES MENDES FILHO,MASCULINO,BRANCA,Nordeste,https://twitter.com/aluisiomendesma,aluisiomendesma
AMÁLIA SCUDELER DE BARROS SANTOS,FEMININO,BRANCA,Centro-Oeste,https://twitter.com/amaliabarros,amaliabarros
AMARO ROCHA NASCIMENTO NETO,MASCULINO,BRANCA,Sudeste,https://twitter.com/amaronetotv,amaronetotv
AMOM MANDEL LINS FILHO,MASCULINO,BRANCA,Norte,https://twitter.com/eusouamom,eusouamom
ANA PAULA PROCOPIO JUNQUEIRA,FEMININO,BRANCA,Sudeste,https://twitter.com/apjunqueira,apjunqueira
ANDRÉ FERNANDES DE MOURA,MASCULINO,BRANCA,Nordeste,https://twitter.com/andrefernm,andrefernm
ANDRE LUIS GASPAR JANONES,MASCULINO,BRANCA,Sudeste,https://twitter.com/AndreJanonesAdv,AndreJanonesAdv
ANTONIO POINCARE ANDRADE FILHO,MASCULINO,PARDA,Norte,https://twitter.com/antonioandradet,antonioandradet
ARLINDO CHIGNALIA JUNIOR,MASCULINO,BRANCA,Sudeste,https://twitter.com/achinaglia,achinaglia
ARNALDO CALIL PEREIRA JARDIM,MASCULINO,BRANCA,Sudeste,https://twitter.com/arnaldojardim,arnaldojardim
ÁTILA DE MELO LIRA,MASCULINO,BRANCA,Nordeste,https://twitter.com/atilaliraof,atilaliraof
AUGUSTO RODRIGUES COUTINHO DE MELO,MASCULINO,BRANCA,Nordeste,https://twitter.com/dep_acoutinho,dep_acoutinho
JOSÉ AUGUSTO PUPPIO REIS JÚNIOR,MASCULINO,BRANCA,Norte,https://twitter.com/AUGUSTOPUPIO,AUGUSTOPUPIO
AUREO LIDIO MOREIRA RIBEIRO,MASCULINO,BRANCA,Sudeste,https://twitter.com/AureoRibeiroRJ,AureoRibeiroRJ
EDUARDO CARVALHO BANDEIRA DE MELLO,MASCULINO,BRANCA,Sudeste,https://twitter.com/mello_bandeira,mello_bandeira
LUIZ BENES LEOCADIO DE ARAUJO,MASCULINO,BRANCA,Nordeste,https://twitter.com/benesleocadiorn,benesleocadiorn
BEATRIZ KICIS TORRENTS DE SORDI,FEMININO,BRANCA,Centro-Oeste,https://twitter.com/biakicis,biakicis
ELVINO JOSÉ BOHN GASS,MASCULINO,BRANCA,Sul,https://twitter.com/bohngass,bohngass
GILBERTO GOMES DA SILVA,MASCULINO,BRANCA,Nordeste,https://twitter.com/cabogilberto,cabogilberto
ALBERTO BARROS CAVALCANTE NETO,MASCULINO,BRANCA,Norte,https://twitter.com/capalbertoneto,capalbertoneto
CARLA ZAMBELLI SALGADO DE OLIVEIRA,FEMININO,BRANCA,Sudeste,https://twitter.com/CarlaZambelli38,CarlaZambelli38
ANTONIO CARLOS GOMES DA SILVA,MASCULINO,PARDA,Sul,https://twitter.com/carlosgomesdep,carlosgomesdep
Carlos Roberto Coelho de Mattos Júnior,MASCULINO,BRANCA,Sudeste,https://twitter.com/carlosjordy,carlosjordy
JOSÉ CARLOS VERAS DOS SANTOS,MASCULINO,BRANCA,Nordeste,https://twitter.com/carlosveraspt,carlosveraspt
CARLOS ALBERTO ROLIM ZARATTINI,MASCULINO,BRANCA,Sudeste,https://twitter.com/CarlosZarattini,CarlosZarattini
CAROLINE RODRIGUES DE TONI,FEMININO,BRANCA,Sul,https://twitter.com/CarolDeToni,CarolDeToni
CELIO STUDART BARBOSA,MASCULINO,BRANCA,Nordeste,https://twitter.com/CelioStudart,CelioStudart
CELSO UBIRAJARA RUSSOMANNO,MASCULINO,BRANCA,Sudeste,https://twitter.com/celsorussomanno,celsorussomanno
CELSO SABINO DE OLIVEIRA,MASCULINO,BRANCA,Norte,https://twitter.com/depcelsosabino,depcelsosabino
JOÃO FRANCISCO INÁCIO BRAZÃO,MASCULINO,BRANCA,Sudeste,https://twitter.com/brazaochiquinho,brazaochiquinho
CHRISTINE NOGUEIRA DOS REIS TONIETTO,FEMININO,BRANCA,Sudeste,https://twitter.com/ToniettoChris,ToniettoChris
ERICA CLARISSA BORBA CORDEIRO DE MOURA,FEMININO,BRANCA,Nordeste,https://twitter.com/clarissatercio,clarissatercio
JONILDO JOSÉ DE ASSIS,MASCULINO,PARDA,Centro-Oeste,https://twitter.com/coronelassismt,coronelassismt
LUIZ DE FRANÇA E SILVA MEIRA,MASCULINO,BRANCA,Nordeste,https://twitter.com/coronel_meira,coronel_meira
ULYSSES FREITAS PEREIRA DE ARAÚJO,MASCULINO,PRETA,Norte,https://twitter.com/coronelulysses,coronelulysses
LUIS ANTONIO FRANCISCATTO COVATTI,MASCULINO,BRANCA,Sul,https://twitter.com/covattifilho,covattifilho
JOSIAS MARIO DA VITORIA,MASCULINO,PARDA,Sudeste,https://twitter.com/depdavitoria,depdavitoria
DAGOBERTO NOGUEIRA FILHO,MASCULINO,BRANCA,Centro-Oeste,https://twitter.com/depdagoberto,depdagoberto
DAIANA SILVA DOS SANTOS,FEMININO,PRETA,Sul,https://twitter.com/daianasantospoa,daianasantospoa
DANIEL BARBOSA DE ALMEIDA SILVA,MASCULINO,BRANCA,Nordeste,https://twitter.com/DanielBarbosaAL,DanielBarbosaAL
DANIEL COSTA DE FREITAS,MASCULINO,BRANCA,Sul,https://twitter.com/DFDanielFreitas,DFDanielFreitas
DANIEL TRZECIAK DUARTE,MASCULINO,BRANCA,Sul,https://twitter.com/TrzeciakDaniel,TrzeciakDaniel
